unique_id,Item_ID,sentence,sentence_type,context,context_prime,ground_truth,indexical,question,non-shifted_option,shifted_option,renamed_sentence,name_mapping,gender
1,1,Chris thinks that I will get good grades on the final exams.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris knows how dedicated I am to my studies and always encourages me to do my best. The final exams are coming up next week.,non-shifted,non-shifted,I,"According to the last sentence, who will get good grades on the final exams?",Stephen,Adam,Hi! I am Stephen. I am a graduate student and I live in Los Angeles. I have a friend named Adam. Adam knows how dedicated I am to my studies and always encourages me to do my best. The final exams are coming up next week. Adam thinks that I will get good grades on the final exams.,"Andrew -> Stephen
Chris -> Adam",male
2,1,Chris thinks that I will get good grades on the final exams.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris usually outperforms everyone in our classes and often brags about it. The final exams are coming up next week.,shifted,non-shifted,I,"According to the last sentence, who will get good grades on the final exams?",Stephen,Adam,Hi! I am Stephen. I am a graduate student and I live in Los Angeles. I have a friend named Adam. Adam usually outperforms everyone in our classes and often brags about it. The final exams are coming up next week. Adam thinks that I will get good grades on the final exams.,"Andrew -> Stephen
Chris -> Adam",male
3,1,"Chris thinks ""I will get good grades on the final exams"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris knows how dedicated I am to my studies and always encourages me to do my best. The final exams are coming up next week.,non-shifted,shifted,I,"According to the last sentence, who will get good grades on the final exams?",Stephen,Adam,"Hi! I am Stephen. I am a graduate student and I live in Los Angeles. I have a friend named Adam. Adam knows how dedicated I am to my studies and always encourages me to do my best. The final exams are coming up next week. Adam thinks ""I will get good grades on the final exams"".","Andrew -> Stephen
Chris -> Adam",male
4,1,"Chris thinks ""I will get good grades on the final exams"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris usually outperforms everyone in our classes and often brags about it. The final exams are coming up next week.,shifted,shifted,I,"According to the last sentence, who will get good grades on the final exams?",Stephen,Adam,"Hi! I am Stephen. I am a graduate student and I live in Los Angeles. I have a friend named Adam. Adam usually outperforms everyone in our classes and often brags about it. The final exams are coming up next week. Adam thinks ""I will get good grades on the final exams"".","Andrew -> Stephen
Chris -> Adam",male
5,2,Chris thinks that I will give a great presentation at the conference.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris believes in my ability to communicate effectively and often praises my public speaking skills. There is an important conference coming up soon.,non-shifted,non-shifted,I,"According to the last sentence, who will give a great presentation at the conference?",Logan,Liam,Hi! I am Logan. I am a graduate student and I live in Los Angeles. I have a friend named Liam. Liam believes in my ability to communicate effectively and often praises my public speaking skills. There is an important conference coming up soon. Liam thinks that I will give a great presentation at the conference.,"Andrew -> Logan
Chris -> Liam",male
6,2,Chris thinks that I will give a great presentation at the conference.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for his exceptional presentation skills and often receives awards for them. There is an important conference coming up soon.,shifted,non-shifted,I,"According to the last sentence, who will give a great presentation at the conference?",Logan,Liam,Hi! I am Logan. I am a graduate student and I live in Los Angeles. I have a friend named Liam. Liam is known for his exceptional presentation skills and often receives awards for them. There is an important conference coming up soon. Liam thinks that I will give a great presentation at the conference.,"Andrew -> Logan
Chris -> Liam",male
7,2,"Chris thinks ""I will give a great presentation at the conference"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris believes in my ability to communicate effectively and often praises my public speaking skills. There is an important conference coming up soon.,non-shifted,shifted,I,"According to the last sentence, who will give a great presentation at the conference?",Logan,Liam,"Hi! I am Logan. I am a graduate student and I live in Los Angeles. I have a friend named Liam. Liam believes in my ability to communicate effectively and often praises my public speaking skills. There is an important conference coming up soon. Liam thinks ""I will give a great presentation at the conference"".","Andrew -> Logan
Chris -> Liam",male
8,2,"Chris thinks ""I will give a great presentation at the conference"".",quotation,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is known for his exceptional presentation skills and often receives awards for them. There is an important conference coming up soon.,shifted,shifted,I,"According to the last sentence, who will give a great presentation at the conference?",Logan,Liam,"Hi! I am Logan. I am a graduate student and I live in Los Angeles. I have a friend named Liam. Liam is known for his exceptional presentation skills and often receives awards for them. There is an important conference coming up soon. Liam thinks ""I will give a great presentation at the conference"".","Andrew -> Logan
Chris -> Liam",male
9,3,Chris thinks that I will bake a delicious cake for the party.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris has tasted my baking before and always compliments my culinary skills. There's a big party coming up this weekend.,non-shifted,non-shifted,I,"According to the last sentence, who will bake a delicious cake for the party?",Matthew,Carl,Hi! I am Matthew. I am a graduate student and I live in Los Angeles. I have a friend named Carl. Carl has tasted my baking before and always compliments my culinary skills. There's a big party coming up this weekend. Carl thinks that I will bake a delicious cake for the party.,"Andrew -> Matthew
Chris -> Carl",male
10,3,Chris thinks that I will bake a delicious cake for the party.,non-quot,Hi! I am Andrew. I am a graduate student and I live in Los Angeles. I have a friend named Chris. Chris is an accomplished baker and often gets asked to make desserts for events. There's a big party coming up this weekend.,shifted,non-shifted,I,"According to the last sentence, who will bake a delicious cake for the party?",Matthew,Carl,Hi! I am Matthew. I am a graduate student and I live in Los Angeles. I have a friend named Carl. Carl is an accomplished baker and often gets asked to make desserts for events. There's a big party coming up this weekend. Carl thinks that I will bake a delicious cake for the party.,"Andrew -> Matthew
Chris -> Carl",male
